"","avg_MET","avg_Intra_FLC"
"hsa-mir-199b-3p_+_2",499.1471162,46.49971273
"hsa-mir-671-5p",282.7970265,58.47158621
"hsa-let-7i-3p",101.3824583,0
"hsa-mir-142-5p",6166.814444,20.09887913
"hsa-mir-28-5p_-_1",107.3145638,15.38854689
"hsa-let-7g-5p_-_1",1246.695857,176.2217575
"hsa-mir-148a-3p",93976.04225,12341.6235
"hsa-mir-210_-_1",158.6853299,56.6097254
"hsa-mir-320b-1",1023.249659,951.8545912
"hsa-mir-320b-2",1035.313106,972.2982597
"hsa-mir-106b-5p",3585.183656,316.3652809
"hsa-mir-29b-2-3p",981.3929449,205.1250925
"hsa-mir-126-3p_-_1",1417.265374,0
"hsa-mir-9-2-5p",98.13432118,263.7469517
"hsa-mir-885-5p",158.4803405,0
"hsa-mir-148b-3p_+_1",139.7531738,36.50012896
"hsa-mir-425-3p",159.6852419,0
"hsa-mir-29b-1-5p",288.4825491,60.01265631
"hsa-mir-141-3p",4974.112898,66.19625918
"hsa-mir-382-5p",1632.552754,37.83968224
"hsa-mir-30d-5p",103826.1845,18667.36553
"hsa-mir-7-3-5p",1325.062436,213.8047131
"hsa-mir-30c-1-5p",5648.849255,991.6185751
"hsa-mir-431-5p",166.7591671,0
"hsa-mir-338-3p",374.3914623,52.41867551
"hsa-mir-22-5p",1153.900222,233.8786527
"hsa-mir-145-3p_+_2",667.8828399,14.62604982
"hsa-mir-425-3p_-_1",914.3025706,190.9582269
"hsa-mir-10b-5p",41793.69343,1004.977971
"hsa-mir-22-3p_-_1",594.700212,239.5623142
"hsa-mir-3591-5p",198.2631257,0
"hsa-mir-10a-5p",22186.95,930.1913628
"hsa-mir-27a-3p_+_1",229.8961815,110.6782582
"hsa-mir-199b-3p",78105.84576,5648.721656
"hsa-mir-574-3p",3440.936346,656.5610575
"hsa-mir-28-5p",6345.468984,888.0930803
"hsa-mir-212-3p",238.8551845,108.9999751
"hsa-mir-1-1",1292.187708,0
"hsa-mir-1-2",1341.553837,0
"hsa-mir-21-5p",1491682.019,145457.6114
"hsa-let-7b-5p_-_1",155.8603597,26.75377625
"hsa-mir-217_-_1",117.4503479,0
"hsa-mir-574-5p",290.142862,284.4184599
"hsa-mir-4485",138.513446,76.3465678
"hsa-mir-217",396.3216008,0
"hsa-mir-215",436.7397644,217.9093235
"hsa-mir-210",2071.549766,1366.725469
"hsa-mir-194-2-3p",197.3899568,192.8715714
"hsa-mir-216a",111.7391101,0
"hsa-mir-216b",111.5601992,0
"hsa-mir-106a-5p",291.8587674,0
"hsa-mir-143-3p_+_3",168.4455101,0
"hsa-mir-143-3p_+_1",3186.327508,28.76683232
"hsa-let-7i-5p_-_1",708.9013322,187.4765579
"hsa-mir-376c",122.5544133,0
"hsa-mir-155-5p_+_1",301.3383755,16.21767206
"hsa-mir-151b",244.9989025,20.30948076
"hsa-mir-22-3p",186405.8281,41435.87857
"hsa-mir-423-5p_+_1",62.28289886,117.6600056
"hsa-mir-320a",44188.54005,65814.43433
"hsa-mir-146b-5p",81012.86457,963.5767385
"hsa-mir-99b-5p",14584.1031,423.7447284
"hsa-mir-374b-3p",185.6632078,12.45271369
"hsa-mir-34a-5p_-_1",417.0104366,69.6099074
"hsa-mir-21-5p_+_1",18488.9601,3673.463646
"hsa-mir-21-5p_+_3",222.3526986,19.09316735
"hsa-mir-21-5p_+_2",2226.116319,248.7651646
"hsa-mir-21-5p_+_5",180.7428172,23.47758079
"hsa-mir-21-5p_+_4",589.0110298,51.25664038
"hsa-mir-107",12317.5364,2095.006896
"hsa-mir-93-5p_+_1",524.0111884,171.3632551
"hsa-mir-409-3p_-_1",1180.692937,6.462234542
"hsa-mir-199b-5p_+_1",124.0925074,0
"hsa-mir-130b-3p",2662.004294,825.8453665
"hsa-mir-5701-2_+_3",1.814054169,106.5747913
"hsa-mir-125b-1-3p",873.3093872,120.5795323
"hsa-mir-505-3p",132.7907247,0
"hsa-mir-29c-3p",7870.544709,1187.415456
"hsa-mir-140-5p",2994.023436,318.8969184
"hsa-mir-148b-5p_-_1",367.4153013,122.1909566
"hsa-mir-92a-2-3p_-_1",350.9972773,13.9732807
"hsa-mir-324-3p",205.842055,29.09275112
"hsa-mir-154-5p",159.345966,0
"hsa-mir-19b-2-3p",4354.982893,403.7723541
"hsa-let-7f-1-5p_-_1",207.2102976,58.30035826
"hsa-mir-143-5p",1680.092575,0
"hsa-mir-148a-5p",366.3948338,246.3532622
"hsa-mir-203_+_1",2564.921302,283.0549172
"hsa-mir-196a-2-5p",428.1608518,330.6488749
"hsa-mir-381",485.1737743,0
"hsa-mir-3182",126.3896573,10.07786073
"hsa-mir-95",2049.563308,120.3011404
"hsa-mir-222-3p_+_1",195.1682131,143.7649787
"hsa-mir-10b-5p_+_1",8700.482247,249.6688313
"hsa-mir-29b-1-3p",973.3448316,201.6841898
"hsa-mir-382-3p",218.4225201,0
"hsa-mir-15b-3p",118.7443894,26.52244096
"hsa-mir-452-5p",659.0472519,63.79298969
"hsa-mir-127-3p_-_1",198.959694,0
"hsa-mir-127-3p",16894.61216,102.5242286
"hsa-mir-106b-3p",3377.991292,889.8626911
"hsa-mir-362-5p",366.212793,63.15791977
"hsa-mir-651",111.5691599,0
"hsa-mir-132-3p",3097.632191,368.6870395
"hsa-let-7c",41461.03408,12912.64126
"hsa-mir-195-5p",3821.59593,45.7894003
"hsa-mir-455-5p_+_2",135.4080964,13.68160749
"hsa-mir-182-5p",9618.583699,9088.02931
"hsa-mir-195-3p",339.7660321,0
"hsa-mir-19a-3p",1267.650524,120.8858795
"hsa-mir-376a-2-3p",184.0873529,0
"hsa-mir-99a-5p",3966.282674,169.5528687
"hsa-mir-214-5p",555.8998254,34.6186966
"hsa-mir-1248",242.8754426,2265.812868
"hsa-mir-505-3p_+_1",181.112011,0
"hsa-mir-9-3-5p",98.13432118,263.5542891
"hsa-mir-191-5p_+_1",1488.77895,213.3723221
"hsa-mir-197-3p",529.3713159,34.54041964
"hsa-mir-320a_+_1",2536.925602,3464.533207
"hsa-mir-320a_+_2",493.7699616,544.5194873
"hsa-mir-769-3p_+_1",103.7522999,120.7696308
"hsa-mir-200a-3p_+_1",130.8111111,86.24808176
"hsa-let-7e-3p",151.6497347,10.86015992
"hsa-let-7a-1-5p_-_1",159.0244722,36.67741654
"hsa-mir-92a-1-5p",151.1537554,37.07997979
"hsa-mir-342-3p",1318.863739,17.53928629
"hsa-mir-339-5p",381.6486746,88.97354389
"hsa-mir-200a-3p",7040.120774,1836.842012
"hsa-mir-433",216.1301118,0
"hsa-mir-19b-1-3p",4213.815418,393.1328122
"hsa-mir-199a-1-3p_+_1",9010.114531,894.1024022
"hsa-mir-199a-1-3p_+_2",499.1471162,46.49971273
"hsa-mir-144-3p_-_1",348.2505073,0
"hsa-mir-140-3p_+_2",516.4631985,93.9238351
"hsa-mir-140-3p_+_1",13482.31945,1983.971
"hsa-mir-23a-3p_+_1",145.4903339,44.80628526
"hsa-mir-194-2-5p_-_1",107.6466266,29.67702906
"hsa-mir-27a-5p",560.6586888,43.54500894
"hsa-let-7f-2-5p_+_1",2812.805668,1538.882248
"hsa-mir-181c-3p_+_1",204.9604269,0
"hsa-mir-331-3p",417.4980966,18.12822192
"hsa-mir-379-5p",1675.401208,72.63729892
"hsa-mir-30e-5p",23115.9443,2220.739084
"hsa-mir-328",960.4422455,420.88601
"hsa-mir-425-5p_+_1",325.7998239,73.25884764
"hsa-mir-145-3p",123.3382338,0
"hsa-mir-30c-2-5p_+_1",100.4195255,64.34511569
"hsa-mir-206",154.8465203,3.87748092
"hsa-mir-363-3p",1151.170494,0
"hsa-mir-3065-5p",252.1312593,64.43574247
"hsa-mir-132-3p_+_1",126.477162,20.61373436
"hsa-mir-382-5p_+_1",196.956352,0
"hsa-mir-382-5p_+_2",228.5544352,0
"hsa-mir-181d",2321.338035,579.3900315
"hsa-mir-92b-3p_+_1",123.0491432,48.91859706
"hsa-mir-92b-3p",7641.228872,1668.877279
"hsa-mir-151a-3p",9429.312463,1281.278068
"hsa-mir-584-5p",280.7240375,0
"hsa-let-7a-3-5p_+_1",1940.029948,868.4568903
"hsa-mir-16-2-5p_-_1",251.146811,44.47920436
"hsa-mir-181b-1-5p_-_1",147.0352214,0
"hsa-mir-199a-2-3p_+_1",9143.58587,903.1088546
"hsa-mir-199a-2-3p_+_2",503.1474725,47.04438643
"hsa-mir-186-5p",14877.14284,1715.753196
"hsa-mir-103a-1-3p",45898.03266,11657.49998
"hsa-mir-1307-5p",797.7245514,123.3450598
"hsa-mir-142-3p_+_1",891.0066549,0
"hsa-mir-142-3p_+_3",423.3176697,0
"hsa-mir-15a-5p_+_1",139.3077335,35.82313059
"hsa-mir-146b-5p_+_1",726.0294686,23.47035906
"hsa-mir-484",3873.269179,744.7814197
"hsa-mir-1247-5p",263.4754036,0
"hsa-mir-32-5p",665.6163345,91.29784472
"hsa-mir-29a-3p_+_1",376.1842186,189.7479639
"hsa-mir-142-5p_-_1",272.3907882,0
"hsa-mir-142-5p_-_2",13368.26514,46.45824541
"hsa-let-7b-5p",184424.851,29182.89568
"hsa-mir-887",654.0278101,0
"hsa-mir-889",158.6046818,0
"hsa-mir-196a-1-5p",209.846598,228.1220822
"hsa-mir-31-5p",2537.634305,1991.294023
"hsa-mir-30e-3p_+_1",160.5930757,15.14183659
"hsa-mir-26b-5p_+_1",1490.854694,433.396055
"hsa-mir-26b-5p_+_2",220.6042817,28.41016352
"hsa-mir-378a-3p",9881.17016,1114.860197
"hsa-mir-18a-3p",121.5643008,12.33296941
"hsa-mir-455-5p",635.1451445,84.81673959
"hsa-mir-122-5p_+_5",103.0467131,0
"hsa-mir-17-5p_-_1",158.4157014,0
"hsa-mir-122-5p",572352.4581,4.064784845
"hsa-mir-744-5p",800.7933948,408.3582844
"hsa-mir-411-5p",621.7954462,16.90725082
"hsa-mir-27b-5p",542.341422,131.8893212
"hsa-mir-3615",804.0021696,523.2711534
"hsa-mir-181a-2-5p_+_1",349.300774,38.23945087
"hsa-mir-1307-3p_+_1",994.236831,125.0131052
"hsa-mir-148a-3p_-_1",206.8054974,52.67470119
"hsa-mir-218-1-3p_-_4",283.0166742,0.743626478
"hsa-mir-29c-5p_+_1",108.5079513,20.65706475
"hsa-let-7d-5p_+_1",289.6235145,354.1921522
"hsa-mir-27b-3p_-_1",780.8627331,110.4275911
"hsa-let-7e-5p_-_1",138.4912459,27.94469832
"hsa-mir-192-5p_-_1",107.4064367,69.42632963
"hsa-mir-125a-3p",215.3125962,19.02933385
"hsa-mir-92a-2-3p",85261.28623,2185.604629
"hsa-mir-664-3p",135.4273656,13.81043658
"hsa-mir-30c-2-5p",5646.526499,990.934355
"hsa-mir-122-5p_-_1",612.3865434,0
"hsa-mir-29a-5p",150.3952406,21.27558829
"hsa-mir-183-5p",1338.701509,599.2284578
"hsa-mir-361-5p",4571.372739,1607.53527
"hsa-mir-451a",35295.55851,0
"hsa-mir-574-3p_+_1",100.1647414,20.66964515
"hsa-mir-500a-3p",209.3708886,0
"hsa-mir-224-5p",982.9984441,485.3010281
"hsa-mir-590-3p",191.0566806,32.55066128
"hsa-mir-7-1-5p",1396.67552,227.7041439
"hsa-mir-194-2-5p",19238.48185,5599.486318
"hsa-mir-320d-1",102.7981652,71.27910563
"hsa-mir-26a-1-5p_-_1",7384.500025,512.392372
"hsa-mir-139-5p",898.8253262,85.0292043
"hsa-mir-130a-3p_+_1",114.0769242,0
"hsa-mir-125b-2-5p",1690.195948,61.54440177
"hsa-mir-122-5p_+_2",129.5823852,0
"hsa-mir-29c-5p",209.3579768,50.90858599
"hsa-let-7a-2-5p_-_1",179.0587504,44.36039162
"hsa-mir-155-5p_+_2",113.4015656,0
"hsa-let-7f-1-5p_+_1",2714.069214,1496.70591
"hsa-mir-146a-5p_+_1",353.8943108,14.87276012
"hsa-mir-10a-3p_+_1",125.2353732,0
"hsa-mir-34c-5p",310.6394151,1345.775762
"hsa-let-7a-2-5p",134642.9124,24152.33031
"hsa-mir-542-3p",279.000444,49.22587583
"hsa-mir-23b-3p_+_1",211.3352118,40.74150042
"hsa-mir-128-1",5795.581121,713.7814023
"hsa-mir-128-2",4570.515773,677.2957168
"hsa-mir-429",425.9747501,130.6077724
"hsa-mir-421",1264.96617,396.655967
"hsa-mir-10a-5p_+_2",176.9083999,11.16441351
"hsa-mir-30d-3p",234.8841271,52.08506458
"hsa-mir-223-5p",322.4272853,0
"hsa-mir-30a-3p_+_1",1319.225223,245.7228685
"hsa-mir-181b-2-5p_+_1",428.1318518,144.3196688
"hsa-mir-34a-5p",25048.74421,2910.031171
"hsa-mir-193b-3p",1634.777945,162.8469491
"hsa-mir-186-5p_+_1",356.6798008,71.08737458
"hsa-mir-486-5p",23242.72593,16.73811651
"hsa-mir-877-5p",160.1811091,13.1972717
"hsa-mir-941-3",163.9859422,76.47563673
"hsa-mir-423-3p_+_1",236.0948852,46.91742041
"hsa-mir-152_+_1",319.8323239,210.2808665
"hsa-mir-21-3p",1942.612713,29.09181958
"hsa-mir-449c-5p",824.2296407,0
"hsa-mir-221-3p",49266.54648,20525.42972
"hsa-mir-487b",409.8770949,0
"hsa-mir-361-3p",5148.062037,1186.84054
"hsa-mir-122-3p",433.8160762,0
"hsa-mir-20a-5p",12825.87889,551.9259614
"hsa-let-7a-1-3p",268.055481,44.30214735
"hsa-mir-27b-3p",63701.66827,10315.21579
"hsa-mir-194-1-5p",9056.627236,2171.079019
"hsa-mir-103a-1-3p_+_1",149.0055659,99.35519708
"hsa-mir-103a-1-3p_+_2",130.7960094,27.28843361
"hsa-mir-423-3p_-_1",2210.005121,351.9230519
"hsa-mir-199a-1-5p",2330.943071,132.9742323
"hsa-mir-323a-3p",143.4139868,0
"hsa-mir-204-5p",303.662535,5.659201692
"hsa-mir-125a-5p",10004.51253,211.9642684
"hsa-mir-378a-3p_+_1",571.8900792,42.64646105
"hsa-mir-23a-3p",8161.012307,1470.480629
"hsa-mir-374b-5p",1257.32765,114.9205611
"hsa-mir-335-3p",354.8540519,41.06648767
"hsa-mir-449c-5p_+_1",2766.958555,0
"hsa-mir-361-3p_+_1",415.0456599,62.57154818
"hsa-mir-29a-3p",23481.17607,4013.547481
"hsa-mir-24-2-5p_-_1",843.5123511,281.9627659
"hsa-mir-497-5p_+_1",351.4259099,0
"hsa-mir-16-2-3p_-_1",906.8004802,166.5108125
"hsa-mir-30a-5p",55108.80376,16688.70735
"hsa-mir-4485_-_3",136.9590239,37.42243569
"hsa-let-7g-5p",182318.5325,25963.98328
"hsa-mir-10a-5p_+_1",11609.55162,633.4373695
"hsa-mir-324-5p",1604.19392,740.1990036
"hsa-mir-24-2-3p_+_1",834.7998817,302.8353298
"hsa-mir-24-2-3p_+_2",199.8254114,38.94440464
"hsa-mir-874",184.1095816,0
"hsa-mir-299-3p",107.5134214,0
"hsa-mir-7-1-3p",132.6945199,26.97695828
"hsa-mir-590-3p_-_1",147.5390427,11.90617691
"hsa-mir-320c-2",201.7288059,126.0749583
"hsa-let-7d-3p",1014.769728,369.0753898
"hsa-mir-181a-1-3p",1223.498136,15.16350179
"hsa-mir-221-3p_-_1",123.296348,38.43933519
"hsa-mir-542-5p",102.4150303,25.0414782
"hsa-mir-222-3p",12357.63297,3615.933035
"hsa-mir-892a",0,1103.60025
"hsa-mir-888-5p",0,822.3387117
